Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	kworker/2:1H	9263	Runnable (Preempted)	207.489174	0.026142	7937
org.mozilla.firefox	13990	pool-6-thread-1	15607	Runnable	206.250091	0.484155	426
kthreadd	2	kworker/u8:0	14316	Running	203.657932	0.151531	1344
kthreadd	2	kworker/u9:2	14898	Runnable (Preempted)	203.088564	0.260036	781
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Runnable	202.855232	0.251994	805
kthreadd	2	kworker/u9:0	14368	Runnable (Preempted)	200.880471	0.28293	710
kthreadd	2	kworker/3:0H	24523	Runnable	198.277691	0.071813	2761
org.mozilla.firefox	13990	IPDL Background	14139	Running	197.635166	0.13472	1467
org.mozilla.firefox	13990	mali-hist-dump	14152	Uninterruptible Sleep + Wake Kill	196.828402	1.910955	103
kthreadd	2	kswapd0	85	Uninterruptible Sleep	195.361175	6.512039	30
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Running	190.593649	0.126808	1503
org.mozilla.firefox	13990	mali-hist-dump	14152	Uninterruptible Sleep	188.000711	37.600142	5
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Running	184.293318	0.980283	188
org.mozilla.firefox	13990	DefaultDispatch	14033	Uninterruptible Sleep + Wake Kill	179.083557	6.175295	29
/system/bin/surfaceflinger	3534	app	3548	Running	178.068632	0.105241	1692
org.mozilla.firefox	13990	Gecko_IOThread	14068	Running	178.037188	0.132764	1341
kthreadd	2	kworker/u9:1	14524	Uninterruptible Sleep	177.221864	44.305466	4
org.mozilla.firefox	13990	IPDL Background	14139	Runnable (Preempted)	175.876338	0.592176	297
kthreadd	2	kworker/u9:5	8877	Runnable (Preempted)	172.531159	0.299533	576
kthreadd	2	kworker/u9:1	14524	Runnable (Preempted)	171.561868	0.29029	591
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Runnable	167.460018	0.431597	388
org.mozilla.firefox	13990	Timer	14112	Uninterruptible Sleep	160.414168	40.103542	4
/system/bin/surfaceflinger	3534	DispSync	3545	Runnable	153.700737	0.04659	3299
kthreadd	2	dmcrypt_write	473	Runnable	150.755696	0.584324	258
kthreadd	2	tx_thread	1418	Running	150.040558	0.185006	811
kthreadd	2	rcu_preempt	7	Running	149.966499	0.032202	4657
kthreadd	2	kworker/u8:2	9118	Runnable (Preempted)	148.988568	0.716291	208
org.mozilla.firefox:tab0	14091	Chrome_ChildThr	14201	Running	146.426327	0.116119	1261
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Running	144.673178	0.203765	710
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Runnable (Preempted)	141.612707	0.206733	685
org.mozilla.firefox	13990	GleanAPIPool	14032	Uninterruptible Sleep + Wake Kill	139.024935	2.780498	50
kthreadd	2	present_fence_w	185	Runnable	138.256383	0.061365	2253
org.mozilla.firefox	13990	IndexedDB #2	15370	Runnable (Preempted)	137.952864	1.159267	119
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Runnable (Preempted)	135.70747	0.422764	321
kthreadd	2	kworker/0:3	14518	Running	132.455239	0.047904	2765
org.mozilla.firefox	13990	HeapTaskDaemon	14002	Uninterruptible Sleep + Wake Kill	130.306324	4.493321	29
org.mozilla.firefox	13990	Thread-24	14079	Uninterruptible Sleep + Wake Kill	129.961553	4.641484	28
kthreadd	2	kworker/3:0H	24523	Running	128.512658	0.024483	5249
org.mozilla.firefox	13990	Thread-25	14164	Runnable	125.83363	0.482121	261
kthreadd	2	kworker/u8:2	9118	Running	125.476168	0.116939	1073
org.mozilla.firefox	13990	Gecko_IOThread	14068	Uninterruptible Sleep + Wake Kill	124.876859	24.975371	5
kthreadd	2	frame_update_wo	186	Runnable	122.718655	0.054932	2234
kthreadd	2	kworker/1:0	2943	Runnable	121.582536	0.249656	487
org.mozilla.firefox:tab0	14091	JS Watchdog	14203	Uninterruptible Sleep + Wake Kill	120.136242	4.29058	28
org.mozilla.firefox	13990	pool-14-thread-	14120	Uninterruptible Sleep	119.195402	2.337164	51
org.mozilla.firefox	13990	pool-6-thread-1	15607	Runnable (Preempted)	118.421307	0.427513	277
kthreadd	2	ion_history	70	Runnable	114.845786	2.944763	39
org.mozilla.firefox	13990	GleanAPIPool	14032	Runnable	112.71817	0.363607	310
org.mozilla.firefox	13990	mali-hist-dump	14152	Running	108.520249	0.253551	428
kthreadd	2	kworker/2:1	14321	Runnable	107.57963	0.296362	363
org.mozilla.firefox	13990	DefaultDispatch	14056	Sleeping	105.677548	26.419387	4
org.mozilla.firefox	13990	IndexedDB #2	15370	Running	105.362471	0.47892	220
org.mozilla.firefox	13990	DefaultDispatch	14042	Uninterruptible Sleep + Wake Kill	104.419933	6.526245	16
org.mozilla.firefox	13990	DefaultDispatch	14033	Runnable (Preempted)	101.160016	0.558895	181
org.mozilla.firefox	13990	HeapTaskDaemon	14002	Runnable	100.007091	0.653641	153
org.mozilla.firefox	13990	JS Watchdog	14086	Uninterruptible Sleep + Wake Kill	96.793238	5.693719	17
org.mozilla.firefox:tab0	14091	StreamTrans #4	15377	Uninterruptible Sleep + Wake Kill	95.428395	19.085679	5
kthreadd	2	kworker/3:1	14545	Runnable	94.584549	0.247603	382
org.mozilla.firefox	13990	DefaultDispatch	14042	Runnable (Preempted)	93.29563	0.527093	177
org.mozilla.firefox	13990	HeapTaskDaemon	14002	Runnable (Preempted)	92.637164	0.508995	182
org.mozilla.firefox	13990	Gecko_IOThread	14068	Runnable (Preempted)	91.928239	0.32369	284
org.mozilla.firefox	13990	GleanAPIPool	14032	Running	89.75394	0.195117	460
org.mozilla.firefox	13990	DefaultDispatch	14042	Runnable	88.945314	0.364529	244
/system/bin/surfaceflinger	3534	app	3548	Runnable	87.520035	0.051787	1690
kthreadd	2	kworker/u9:4	14337	Uninterruptible Sleep	85.165931	14.194321	6
kthreadd	2	present_fence_w	185	Uninterruptible Sleep	82.630163	3.592615	23
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Uninterruptible Sleep + Wake Kill	80.827314	1.17141	69
kthreadd	2	kworker/0:1H	233	Runnable	80.771502	0.081014	997
kthreadd	2	kworker/3:0H	24523	Runnable (Preempted)	75.991829	0.030445	2496
org.mozilla.firefox	13990	mali-cmar-backe	14151	Running	75.262006	0.188626	399
org.mozilla.firefox	13990	IndexedDB #2	15370	Uninterruptible Sleep + Wake Kill	74.899621	1.783324	42
kthreadd	2	kworker/u8:3	14523	Runnable	74.042169	0.261633	283
org.mozilla.firefox	13990	DefaultDispatch	14042	Running	73.07216	0.173568	421
